layer,feature,pearson_vs_SD,pearson_vs_SD_p,spearman_vs_SD,spearman_vs_SD_p,pearson_vs_SD_z,pearson_vs_SD_z_p,spearman_vs_SD_z,spearman_vs_SD_z_p,n_professions,activation_metric
mid_block,act_mean_signed,-0.6275493217989095,1.126357479755701e-05,-0.39047979065036115,0.011600691429684876,-0.6275493217989095,1.126357479755701e-05,-0.39047979065036115,0.011600691429684876,41,mean_based_bias
mid_block,act_mean_abs,-0.20678793787864533,0.1945573982066539,-0.14244744891560712,0.3743019046985606,-0.20678793787864536,0.1945573982066539,-0.14244744891560712,0.3743019046985606,41,mean_based_bias
mid_block,act_std,-0.07477757851349065,0.6421790765411352,-0.04309408343657615,0.7890629907980391,-0.07477757851349068,0.6421790765411358,-0.04309408343657615,0.7890629907980391,41,mean_based_bias
mid_block,act_max_abs,-0.20638840130363184,0.1954400988178085,-0.15768893187105726,0.3247937070821836,-0.2063884013036318,0.1954400988178085,-0.15768893187105726,0.3247937070821836,41,mean_based_bias
mid_block,act_median,-0.6412956288177584,6.251711052701151e-06,-0.3942271007991866,0.010758563850690928,-0.6412956288177584,6.251711052701151e-06,-0.3942271007991866,0.010758563850690928,41,mean_based_bias
mid_block,act_rms,-0.20259411734537922,0.2039637000936153,-0.1323541299844335,0.4094229785563728,-0.20259411734537927,0.20396370009361484,-0.1323541299844335,0.4094229785563728,41,mean_based_bias
up_0,act_mean_signed,-0.6273195827717544,1.1372214715399029e-05,-0.39600917406483016,0.010376763164846968,-0.6273195827717544,1.1372214715399029e-05,-0.39600917406483016,0.010376763164846968,41,mean_based_bias
up_0,act_mean_abs,-0.13619005633502895,0.3958591998106048,-0.07907895962597783,0.6230982136864569,-0.13619005633502895,0.3958591998106048,-0.07907895962597783,0.6230982136864569,41,mean_based_bias
up_0,act_std,-0.01893337580803176,0.9064685885496119,0.0357215722172841,0.8245265809350268,-0.01893337580803177,0.9064685885496119,0.0357215722172841,0.8245265809350268,41,mean_based_bias
up_0,act_max_abs,-0.1086914326671288,0.4987548800543184,-0.052748562414220504,0.7432606038235812,-0.10869143266712883,0.4987548800543184,-0.052748562414220504,0.7432606038235812,41,mean_based_bias
up_0,act_median,-0.6322141134413866,9.253370684071836e-06,-0.4190921556204707,0.006385040396846379,-0.6322141134413864,9.253370684071946e-06,-0.4190921556204707,0.006385040396846379,41,mean_based_bias
up_0,act_rms,-0.13111742743125762,0.41385189195414884,-0.08276521523562386,0.6069367213580066,-0.13111742743125762,0.41385189195414884,-0.08276521523562386,0.6069367213580066,41,mean_based_bias
up_1,act_mean_signed,-0.5739160009644427,8.741815493119128e-05,-0.3704686887694255,0.01711032405740483,-0.5739160009644427,8.741815493119128e-05,-0.3704686887694255,0.01711032405740483,41,mean_based_bias
up_1,act_mean_abs,-0.14894085615908137,0.3526860297784301,-0.08627593486385816,0.5917145446056788,-0.14894085615908143,0.3526860297784301,-0.08627593486385816,0.5917145446056788,41,mean_based_bias
up_1,act_std,-0.1151154238544636,0.4735646305888006,-0.10874454048455774,0.4985438630088731,-0.11511542385446369,0.4735646305888006,-0.10874454048455774,0.4985438630088731,41,mean_based_bias
up_1,act_max_abs,-0.14003977990015282,0.38251257598366095,-0.10400506898644142,0.5175536235828229,-0.14003977990015276,0.38251257598366095,-0.10400506898644142,0.5175536235828229,41,mean_based_bias
up_1,act_median,-0.5691322071472591,0.0001031725720782921,-0.3646918855216788,0.019061152058453972,-0.5691322071472591,0.0001031725720782921,-0.3646918855216788,0.019061152058453972,41,mean_based_bias
up_1,act_rms,-0.14904133712504325,0.3523576232941913,-0.09522826991585565,0.553683222827429,-0.14904133712504328,0.3523576232941913,-0.09522826991585565,0.553683222827429,41,mean_based_bias
up_2,act_mean_signed,-0.3787767344813625,0.01460153056950415,-0.2793655144167452,0.07691049126986751,-0.3787767344813625,0.01460153056950415,-0.2793655144167452,0.07691049126986751,41,mean_based_bias
up_2,act_mean_abs,-0.13848615095797598,0.38786663568811014,-0.1044439089399707,0.5157784485994228,-0.138486150957976,0.38786663568811014,-0.1044439089399707,0.5157784485994228,41,mean_based_bias
up_2,act_std,-0.19769817082008728,0.21534158322793479,-0.11146534819643933,0.4877944168743885,-0.1976981708200873,0.21534158322793479,-0.11146534819643933,0.4877944168743885,41,mean_based_bias
up_2,act_max_abs,-0.1887262102172499,0.23731617174342,-0.10191195410144105,0.5260621922841012,-0.1887262102172499,0.23731617174342,-0.10191195410144105,0.5260621922841012,41,mean_based_bias
up_2,act_median,-0.4183482823319934,0.00648912994594839,-0.30276887102455624,0.05433640719504687,-0.4183482823319934,0.00648912994594839,-0.30276887102455624,0.05433640719504687,41,mean_based_bias
up_2,act_rms,-0.16115923268405546,0.31412255165798725,-0.09391175005526778,0.5592031851806243,-0.16115923268405546,0.31412255165798725,-0.09391175005526778,0.5592031851806243,41,mean_based_bias
