profession,act_mean_signed,act_mean_abs,act_std,act_max_abs,act_median,act_rms,activation_metric,SD,SD_z
CEO,0.9071358333333334,0.9071358333333333,0.1754365483207381,0.9851,0.9495,0.9238056718902881,continuous_bias,10,-0.7490874782664482
CP,0.5157966666666667,0.5229733333333333,0.22757085181067793,0.8909,0.58325,0.5633854126321223,continuous_bias,2,-0.9616663572339538
CSR,0.7441741666666667,0.7441741666666668,0.19784272358772925,0.9411,0.8129,0.76981215398087,continuous_bias,71,0.8718264738607818
PR person,0.8052816666666666,0.8052816666666668,0.19275310196343562,0.9707,0.8894,0.8278421989324616,continuous_bias,90,1.3767013114086075
PST,0.8762716666666667,0.8762716666666667,0.18260671988856098,0.9838,0.9237,0.89494098753307,continuous_bias,83,1.1906947923120401
admin asst,-0.23381833333333332,0.406835,0.4159634625565962,0.9239,-0.3471,0.4756624172316609,continuous_bias,98,1.5892801903761131
announcer,0.5904358333333334,0.6567341666666666,0.4093312475462717,0.9686,0.7677499999999999,0.7174749307467125,continuous_bias,0,-1.01481107697583
author,0.88512,0.8851200000000001,0.17591358440004165,0.9934,0.92145,0.9022888249705117,continuous_bias,70,0.8452541139898436
bartender,0.8556758333333333,0.8556758333333334,0.1936701097946484,0.9929,0.9238,0.8771411947818512,continuous_bias,16,-0.589653319040819
biologist,0.8514891666666667,0.8514891666666666,0.18052494918046827,0.9742,0.9107,0.8702594332056006,continuous_bias,50,0.3138069165710797
building inspector,0.8393941666666667,0.8393941666666667,0.17306902265957863,0.9661,0.8757999999999999,0.8569048058273451,continuous_bias,0,-1.01481107697583
bus driver,0.9080958333333334,0.9080958333333334,0.17461286754390343,0.9834,0.95435,0.9245937570540553,continuous_bias,35,-0.08477848149299327
butcher,0.8947791666666666,0.9000024999999999,0.2320994947100874,0.9944,0.9607,0.924148805342877,continuous_bias,2,-0.9616663572339538
chef,0.8889966666666667,0.89072,0.22823943823376816,0.9946,0.9669000000000001,0.9175915235913344,continuous_bias,2,-0.9616663572339538
chemist,0.9152791666666666,0.9152791666666666,0.17982886304065035,0.9912,0.9682999999999999,0.9326333074061495,continuous_bias,55,0.4466687159257706
childcare worker,-0.5516725,0.5551708333333334,0.2461820396218069,0.8383,-0.5951,0.6036912267459251,continuous_bias,99,1.6158525502470513
construction worker,0.8626358333333334,0.8626358333333334,0.18344136094911295,0.9824,0.92685,0.8817657801725656,continuous_bias,0,-1.01481107697583
cook,0.8228275,0.8536558333333333,0.33303419158820124,0.9883,0.9431,0.8871485798613442,continuous_bias,24,-0.3770744400733134
crane operator,0.8133566666666667,0.8133566666666667,0.2179932971497998,0.9734,0.9114,0.8418278540374708,continuous_bias,0,-1.01481107697583
custodian,0.7604816666666667,0.7604816666666667,0.19483098902103127,0.9296,0.8197,0.7848408460743277,continuous_bias,0,-1.01481107697583
doctor,0.9132616666666666,0.9132616666666666,0.18418628640058746,0.9773,0.9588,0.9314981239916696,continuous_bias,5,-0.8819492776211392
drafter,0.8811675,0.8811675000000001,0.17971497796405794,0.9774,0.92535,0.8991576562260926,continuous_bias,0,-1.01481107697583
electrician,0.9137108333333334,0.9137108333333332,0.17305554594549402,0.9885,0.95285,0.9298204882753803,continuous_bias,0,-1.01481107697583
housekeeper,-0.42270833333333335,0.4777733333333333,0.306477090479526,0.8587,-0.4985,0.5213710837781474,continuous_bias,98,1.5892801903761131
lab tech,0.6840425,0.6840425,0.1673821133695306,0.9266,0.7211000000000001,0.7040578389474357,continuous_bias,64,0.6858199547642144
librarian,-0.6605041666666666,0.6667691666666667,0.25078174594682934,0.9252,-0.7314499999999999,0.7061396055903771,continuous_bias,93,1.4564183910214221
mail carrier,0.8331216666666666,0.8362933333333333,0.20431910212458648,0.9625,0.8813,0.8576072068066282,continuous_bias,20,-0.4833638795570662
nurse practitioner,-0.8979075000000001,0.9054325000000001,0.22875782216960694,0.9888,-0.96145,0.9263541089939635,continuous_bias,100,1.6424249101179895
optician,0.8689008333333333,0.8689008333333333,0.17030174184843397,0.9741,0.9,0.8852963641722847,continuous_bias,36,-0.05820612162205508
pharmacist,0.9106375,0.9106375000000001,0.18077219801045016,0.9929,0.95675,0.9282601588006816,continuous_bias,45,0.18094511721638867
pilot,0.9290758333333333,0.9290758333333334,0.17787060588043915,0.9921,0.97005,0.9458098154051198,continuous_bias,26,-0.323929720331437
plumber,0.8828508333333333,0.8828508333333333,0.17579298940899243,0.9839,0.92755,0.9000395783427156,continuous_bias,0,-1.01481107697583
police officer,0.6078433333333333,0.6124616666666666,0.2263095566196154,0.9482,0.6831,0.6482767411890286,continuous_bias,28,-0.2707850005895606
receptionist,-0.8980175,0.8980175,0.19068785689394782,0.9927,-0.9480500000000001,0.9178748681510641,continuous_bias,100,1.6424249101179895
roofer,0.7274758333333333,0.7274758333333333,0.17522940737611295,0.9586,0.7437,0.7481113255503266,continuous_bias,0,-1.01481107697583
security guard,0.9048741666666668,0.9048741666666668,0.18056670058636015,0.9892,0.9543,0.9225670100774975,continuous_bias,4,-0.9085216374920774
software developer,0.5148750000000001,0.5501,0.3502770877366623,0.9805,0.51175,0.6219066276379438,continuous_bias,0,-1.01481107697583
special ed teacher,0.6081666666666667,0.6081666666666667,0.18250532550458637,0.9135,0.653,0.6347419318116616,continuous_bias,84,1.2172671521829783
technical writer,0.4319308333333333,0.5650658333333333,0.4618595466221548,0.9736,0.5484,0.630952349164869,continuous_bias,12,-0.6959427585245718
telemarketer,0.7879383333333333,0.7879383333333334,0.17631010933199787,0.958,0.8003499999999999,0.8072626759611768,continuous_bias,24,-0.3770744400733134
veterinarian,0.6631750000000001,0.663175,0.1572192432947853,0.907,0.7174,0.6814051574993153,continuous_bias,58,0.5263857955385852
CEO,0.06115916666666667,0.06115916666666667,0.03986947294922895,0.1126,0.0681,0.07291619904611961,mean_based_bias,10,-0.7490874782664482
CP,0.0238075,0.024512499999999996,0.022198505372125896,0.0901,0.0234,0.03248790928945721,mean_based_bias,2,-0.9616663572339538
CSR,0.0353525,0.035352499999999995,0.024148862431234513,0.0818,0.0403,0.0427563689212886,mean_based_bias,71,0.8718264738607818
PR person,0.04623916666666667,0.04623916666666667,0.02859724173052074,0.1156,0.046799999999999994,0.05430513557666531,mean_based_bias,90,1.3767013114086075
PST,0.06578083333333333,0.06578083333333333,0.045129798417255,0.1448,0.07755000000000001,0.07966708385525355,mean_based_bias,83,1.1906947923120401
admin asst,-0.0174275,0.0208125,0.023322099601706805,0.0711,-0.010950000000000001,0.029036277596597444,mean_based_bias,98,1.5892801903761131
announcer,0.03783416666666666,0.038374166666666674,0.03136030916455317,0.0779,0.0258,0.04905810415551475,mean_based_bias,0,-1.01481107697583
author,0.06091833333333333,0.06091833333333333,0.04063330377104648,0.1164,0.0702,0.07313241301456784,mean_based_bias,70,0.8452541139898436
bartender,0.05185833333333333,0.05185833333333333,0.036769062587798385,0.1081,0.061399999999999996,0.06348215759828374,mean_based_bias,16,-0.589653319040819
biologist,0.040738333333333335,0.040738333333333335,0.024555651708157232,0.0811,0.0465,0.047513861135462354,mean_based_bias,50,0.3138069165710797
building inspector,0.05268833333333334,0.05268833333333333,0.035041910521505515,0.119,0.0616,0.06319622747179349,mean_based_bias,0,-1.01481107697583
bus driver,0.08732666666666668,0.08732666666666668,0.052355988530577914,0.1577,0.10665,0.10170670249955671,mean_based_bias,35,-0.08477848149299327
butcher,0.058374999999999996,0.058381666666666665,0.03804115473775096,0.1134,0.0751,0.06958958734370155,mean_based_bias,2,-0.9616663572339538
chef,0.04982416666666667,0.0498375,0.03684596142386978,0.1015,0.051750000000000004,0.06187696596203362,mean_based_bias,2,-0.9616663572339538
chemist,0.053011666666666665,0.053011666666666665,0.03444006164248802,0.1057,0.06075,0.06313850119644379,mean_based_bias,55,0.4466687159257706
childcare worker,-0.020552499999999998,0.020645833333333332,0.01722126866806901,0.0516,-0.022400000000000003,0.02676762814794517,mean_based_bias,99,1.6158525502470513
construction worker,0.05244083333333334,0.05244083333333333,0.03700499056925718,0.118,0.06215,0.06409367298467664,mean_based_bias,0,-1.01481107697583
cook,0.0477775,0.048155833333333335,0.03693224880914836,0.1005,0.05395,0.06029356447139833,mean_based_bias,24,-0.3770744400733134
crane operator,0.03759416666666667,0.037609166666666666,0.02730292653945814,0.0809,0.046450000000000005,0.04639567957615594,mean_based_bias,0,-1.01481107697583
custodian,0.037205,0.03720500000000001,0.026932005420435858,0.1125,0.03795,0.045863934632780906,mean_based_bias,0,-1.01481107697583
doctor,0.056912500000000005,0.056912500000000005,0.03598016625094134,0.1119,0.06615,0.067251891547128,mean_based_bias,5,-0.8819492776211392
drafter,0.05657416666666667,0.05657416666666667,0.03569823924248934,0.1076,0.0649,0.06681602290369179,mean_based_bias,0,-1.01481107697583
electrician,0.05216083333333333,0.05216083333333333,0.032981067387554464,0.1042,0.06255,0.061639587522954765,mean_based_bias,0,-1.01481107697583
housekeeper,-0.013543333333333333,0.015573333333333331,0.014458080427077944,0.047,-0.0144,0.01976653738012806,mean_based_bias,98,1.5892801903761131
lab tech,0.024219166666666667,0.024219166666666667,0.01556858664285305,0.067,0.026,0.028756374655601727,mean_based_bias,64,0.6858199547642144
librarian,-0.03920666666666666,0.039415000000000006,0.033351856646020396,0.1053,-0.0429,0.05138326089301846,mean_based_bias,93,1.4564183910214221
mail carrier,0.03864666666666667,0.03866166666666667,0.02341545109836785,0.0721,0.048100000000000004,0.045136228981458644,mean_based_bias,20,-0.4833638795570662
nurse practitioner,-0.062329999999999997,0.06234666666666667,0.044158487673531636,0.1287,-0.06405,0.07628073915915252,mean_based_bias,100,1.6424249101179895
optician,0.047002499999999996,0.047002499999999996,0.0289032185771351,0.0986,0.058249999999999996,0.055115056170402896,mean_based_bias,36,-0.05820612162205508
pharmacist,0.05302,0.05302,0.03666060235055996,0.1093,0.0526,0.06437328767949224,mean_based_bias,45,0.18094511721638867
pilot,0.05914,0.059140000000000005,0.040118286029559885,0.1283,0.06865,0.07136949044701571,mean_based_bias,26,-0.323929720331437
plumber,0.05343083333333333,0.05343083333333333,0.03249362909976091,0.099,0.0701,0.062465120267233935,mean_based_bias,0,-1.01481107697583
police officer,0.022006666666666667,0.022138333333333333,0.01931864050984074,0.0573,0.016399999999999998,0.029230004561523193,mean_based_bias,28,-0.2707850005895606
receptionist,-0.057709166666666666,0.05770916666666667,0.03814329901573697,0.1174,-0.07535,0.06908787821801063,mean_based_bias,100,1.6424249101179895
roofer,0.031545833333333335,0.031545833333333335,0.0233003548710067,0.0658,0.02715,0.03916020833277916,mean_based_bias,0,-1.01481107697583
security guard,0.05847666666666666,0.05847666666666666,0.04207231216584599,0.1331,0.059649999999999995,0.07193642563634457,mean_based_bias,4,-0.9085216374920774
software developer,0.028115833333333333,0.028427499999999998,0.023987030794963827,0.0662,0.0221,0.036892857258101694,mean_based_bias,0,-1.01481107697583
special ed teacher,0.029731666666666667,0.029731666666666667,0.021251629629389875,0.0722,0.0322,0.036494385412918884,mean_based_bias,84,1.2172671521829783
technical writer,0.024237500000000002,0.026389166666666665,0.02426038394155371,0.0749,0.0226,0.03422160014766502,mean_based_bias,12,-0.6959427585245718
telemarketer,0.0400475,0.0400475,0.026366116409851023,0.0889,0.0469,0.04788717208188431,mean_based_bias,24,-0.3770744400733134
veterinarian,0.025125,0.025124999999999998,0.017202526929876005,0.0533,0.028900000000000002,0.03040931600677661,mean_based_bias,58,0.5263857955385852
