profession,layer,act_mean_signed,act_mean_abs,act_std,act_max_abs,act_median,act_rms,activation_metric,SD,SD_z
CEO,mid_block,0.08192,0.08192,0.021417208678681885,0.0926,0.08965000000000001,0.08458305582877301,mean_based_bias,10,-0.7490874782664482
CEO,up_0,0.09953666666666666,0.09953666666666668,0.025854226404758384,0.1126,0.10819999999999999,0.102731239974346,mean_based_bias,10,-0.7490874782664482
CEO,up_1,0.05612333333333333,0.05612333333333334,0.018446898315740354,0.0701,0.0634,0.058981129750681,mean_based_bias,10,-0.7490874782664482
CEO,up_2,0.007056666666666667,0.007056666666666667,0.0056186685951041095,0.0288,0.0063,0.008961789255872214,mean_based_bias,10,-0.7490874782664482
CP,mid_block,0.03809,0.03808999999999999,0.012862572006433615,0.0728,0.04195,0.04013451133376362,mean_based_bias,2,-0.9616663572339538
CP,up_0,0.03758333333333333,0.03978333333333333,0.02839298217485457,0.0901,0.0434,0.04681662454014956,mean_based_bias,2,-0.9616663572339538
CP,up_1,0.01677,0.017390000000000003,0.011398703798058006,0.0354,0.02275,0.020170085109719623,mean_based_bias,2,-0.9616663572339538
CP,up_2,0.002786666666666667,0.0027866666666666665,0.002201211787478282,0.012,0.0031,0.003528361281577233,mean_based_bias,2,-0.9616663572339538
CSR,mid_block,0.04365,0.04365,0.012753518784214435,0.0562,0.0458,0.04541533881850932,mean_based_bias,71,0.8718264738607818
CSR,up_0,0.05748333333333333,0.05748333333333333,0.022447656867712818,0.0818,0.06420000000000001,0.06157462410224957,mean_based_bias,71,0.8718264738607818
CSR,up_1,0.03286,0.03286000000000001,0.0170443356957772,0.0519,0.03935,0.036886384118443125,mean_based_bias,71,0.8718264738607818
CSR,up_2,0.007416666666666667,0.007416666666666668,0.00665624328827032,0.0325,0.0066,0.009891191367406996,mean_based_bias,71,0.8718264738607818
PR person,mid_block,0.07233666666666667,0.07233666666666667,0.017087189864669516,0.0921,0.0771,0.0742619216018546,mean_based_bias,90,1.3767013114086075
PR person,up_0,0.06391,0.06391,0.01797318596668669,0.1156,0.0652,0.06630803621482592,mean_based_bias,90,1.3767013114086075
PR person,up_1,0.04095666666666666,0.04095666666666666,0.010575204679957194,0.0561,0.04455,0.0422558358888647,mean_based_bias,90,1.3767013114086075
