feature,pearson_vs_SD,pearson_vs_SD_p,spearman_vs_SD,spearman_vs_SD_p,pearson_vs_SD_z,pearson_vs_SD_z_p,spearman_vs_SD_z,spearman_vs_SD_z_p,n_professions,context,activation_metric
act_mean_signed,-0.6599379472098955,2.6820727235992355e-06,-0.3717852086300134,0.016690106326344815,-0.6599379472098955,2.6820727235992355e-06,-0.3717852086300134,0.016690106326344815,41,continuous_bias,continuous_bias
act_mean_abs,-0.27668367392811744,0.07990807714475381,-0.12664921058855272,0.4300788477497801,-0.2766836739281175,0.07990807714475381,-0.12664921058855272,0.4300788477497801,41,continuous_bias,continuous_bias
act_std,0.034093700408023564,0.8324063037743562,0.11602928371314394,0.4700366270788021,0.03409370040802358,0.8324063037743562,0.11602928371314394,0.4700366270788021,41,continuous_bias,continuous_bias
act_max_abs,-0.41000302066796723,0.007761136902215394,-0.18502298307573978,0.2468151161912307,-0.41000302066796723,0.007761136902215394,-0.18502298307573978,0.2468151161912307,41,continuous_bias,continuous_bias
act_median,-0.6698890461802204,1.6661063001848772e-06,-0.41022758855917907,0.0077242867657495,-0.6698890461802204,1.6661063001848772e-06,-0.41022758855917907,0.0077242867657495,41,continuous_bias,continuous_bias
act_rms,-0.2919670793276762,0.06398636288301798,-0.13279296993796277,0.4078579302664468,-0.29196707932767607,0.06398636288301798,-0.13279296993796277,0.4078579302664468,41,continuous_bias,continuous_bias
act_mean_signed,-0.6167535983657708,1.753969360884958e-05,-0.37898218386789373,0.01454366978364612,-0.6167535983657708,1.753969360884958e-05,-0.37898218386789373,0.01454366978364612,41,mean_based_bias,mean_based_bias
act_mean_abs,-0.1700280998781966,0.2878704289349738,-0.08873343860362218,0.5811604041334423,-0.1700280998781966,0.2878704289349738,-0.08873343860362218,0.5811604041334423,41,mean_based_bias,mean_based_bias
act_std,-0.1574383727719675,0.32557284707739953,-0.08557379093821128,0.5947454723092067,-0.1574383727719675,0.32557284707739953,-0.08557379093821128,0.5947454723092067,41,mean_based_bias,mean_based_bias
act_max_abs,-0.11339774583987522,0.4802335049149582,-0.052748562414220504,0.7432606038235812,-0.11339774583987523,0.4802335049149582,-0.052748562414220504,0.7432606038235812,41,mean_based_bias,mean_based_bias
act_median,-0.5820072596800232,6.566167900725122e-05,-0.3773145920444824,0.01501897195964613,-0.5820072596800232,6.566167900725122e-05,-0.3773145920444824,0.01501897195964613,41,mean_based_bias,mean_based_bias
act_rms,-0.17041139239485895,0.2867689310798557,-0.10014327739538369,0.533305054861231,-0.17041139239485895,0.2867689310798557,-0.10014327739538369,0.533305054861231,41,mean_based_bias,mean_based_bias
