layer,step,activation_metric,pearson_vs_SD,spearman_vs_SD,pearson_vs_SD_z,spearman_vs_SD_z,n_professions,pearson_vs_SD_p,spearman_vs_SD_p
mid_block,0,mean_based_bias,,,,,41,,
mid_block,1,mean_based_bias,-0.4265312123308305,-0.3146399533531077,-0.4265312123308304,-0.3146399533531077,41,0.005420974343506028,0.04511476799879654
mid_block,2,mean_based_bias,-0.3734828521142427,-0.30401091875057434,-0.3734828521142424,-0.30401091875057434,41,0.016161117581695285,0.053305982808778636
mid_block,3,mean_based_bias,-0.41517595767128834,-0.3019218880281506,-0.4151759576712883,-0.3019218880281506,41,0.006949659376197223,0.055048190424807436
mid_block,4,mean_based_bias,-0.5020837808166041,-0.4382007794144359,-0.5020837808166039,-0.4382007794144359,41,0.000823478809330064,0.004162635353039501
mid_block,5,mean_based_bias,-0.5300273006189585,-0.4076823168287092,-0.5300273006189582,-0.4076823168287092,41,0.0003651268967283086,0.00815089728655783
mid_block,6,mean_based_bias,-0.5615278149893631,-0.36871332895530834,-0.561527814989363,-0.36871332895530834,41,0.00013356701859262708,0.017684455959023022
mid_block,7,mean_based_bias,-0.5886968578732508,-0.3888730201693858,-0.5886968578732507,-0.3888730201693858,41,5.152748465800737e-05,0.01197862843309206
mid_block,8,mean_based_bias,-0.6050852644147864,-0.384133342234808,-0.605085264414786,-0.384133342234808,41,2.7800330265390816e-05,0.013155129944822217
mid_block,9,mean_based_bias,-0.6218151533570124,-0.3865470671088986,-0.6218151533570122,-0.3865470671088986,41,1.428026693721197e-05,0.012544275255270692
mid_block,10,mean_based_bias,-0.6324576094217629,-0.41963704083733966,-0.6324576094217628,-0.41963704083733966,41,9.158089601885293e-06,0.006309713738038821
mid_block,11,mean_based_bias,-0.6402314963237627,-0.4173731539364749,-0.6402314963237626,-0.4173731539364749,41,6.549976267130173e-06,0.0066277973182383735
mid_block,12,mean_based_bias,-0.6469004036017283,-0.4274301147375272,-0.6469004036017283,-0.4274301147375272,41,4.876474203047956e-06,0.005313508107128434
mid_block,13,mean_based_bias,-0.6516703101840131,-0.43418825002187833,-0.6516703101840132,-0.43418825002187833,41,3.931405780516382e-06,0.004563078153572846
mid_block,14,mean_based_bias,-0.6535330009397061,-0.4322573542263494,-0.653533000939706,-0.4322573542263494,41,3.6105165356884637e-06,0.004767440933573794
mid_block,15,mean_based_bias,-0.6547887015945962,-0.41549366800153054,-0.654788701594596,-0.41549366800153054,41,3.4079902876096505e-06,0.006902300713237526
mid_block,16,mean_based_bias,-0.6549805214105053,-0.4096132126242381,-0.6549805214105048,-0.4096132126242381,41,3.37798995483009e-06,0.00782546122060659
mid_block,17,mean_based_bias,-0.6541476670368053,-0.4067168689309448,-0.6541476670368052,-0.4067168689309448,41,3.510035319462706e-06,0.008317933108385508
mid_block,18,mean_based_bias,-0.6527883411581139,-0.3978430747039059,-0.652788341158114,-0.3978430747039059,41,3.735791931236248e-06,0.009996010874337775
mid_block,19,mean_based_bias,-0.6504292352669392,-0.3902773691870384,-0.6504292352669386,-0.3902773691870384,41,4.1595547847917076e-06,0.011647737273934792
mid_block,20,mean_based_bias,-0.6470786140556584,-0.38819782289200877,-0.6470786140556583,-0.38819782289200877,41,4.837706146651672e-06,0.012140546096947421
mid_block,21,mean_based_bias,-0.6437599969622081,-0.3874247852449315,-0.6437599969622081,-0.3874247852449315,41,5.6082457937549955e-06,0.012328210873521542
mid_block,22,mean_based_bias,-0.640449565281331,-0.381242808029812,-0.6404495652813307,-0.381242808029812,41,6.487809846456563e-06,0.013919729422620682
mid_block,23,mean_based_bias,-0.6371558952064674,-0.390452912814245,-0.6371558952064672,-0.390452912814245,41,7.487047091855514e-06,0.011606928909577579
mid_block,24,mean_based_bias,-0.6346155406534482,-0.3733812950684047,-0.6346155406534483,-0.3733812950684047,41,8.352165646475207e-06,0.016192359861062277
mid_block,25,mean_based_bias,-0.6329708788295472,-0.3659925212434268,-0.6329708788295472,-0.3659925212434268,41,8.960185572399697e-06,0.018606372293549066
