profession,text_embedding_bias,dist_male,dist_female,SD,SD_z
admin asst,-0.0724,0.0582,0.0504,98,1.5892801903761131
electrician,0.686,0.017,0.091,0,-1.01481107697583
author,0.1467,0.0439,0.0591,70,0.8452541139898436
optician,0.2818,0.0348,0.062,36,-0.05820612162205508
announcer,0.3282,0.037,0.0732,0,-1.01481107697583
chemist,0.2567,0.0416,0.0703,55,0.4466687159257706
butcher,0.5943,0.0213,0.0837,2,-0.9616663572339538
building inspector,0.5678,0.0216,0.0785,0,-1.01481107697583
bartender,0.4794,0.0239,0.068,16,-0.589653319040819
childcare worker,-0.3402,0.0586,0.0289,99,1.6158525502470513
chef,0.386,0.0302,0.0682,2,-0.9616663572339538
CEO,0.412,0.0297,0.0714,10,-0.7490874782664482
biologist,0.223,0.0373,0.0587,50,0.3138069165710797
bus driver,0.5533,0.0176,0.0612,35,-0.08477848149299327
crane operator,0.5154,0.0223,0.0698,0,-1.01481107697583
CSR,0.0846,0.0569,0.0675,71,0.8718264738607818
drafter,0.4026,0.0329,0.0773,0,-1.01481107697583
construction worker,0.6317,0.019,0.0841,0,-1.01481107697583
doctor,0.2312,0.0413,0.0662,5,-0.8819492776211392
CP,0.1324,0.0522,0.0681,2,-0.9616663572339538
custodian,0.6014,0.0223,0.0895,0,-1.01481107697583
cook,0.3874,0.0335,0.0758,24,-0.3770744400733134
nurse practitioner,-0.752,0.0885,0.0125,100,1.6424249101179895
mail carrier,0.4642,0.0241,0.0658,20,-0.4833638795570662
lab tech,0.2783,0.0329,0.0583,64,0.6858199547642144
pharmacist,0.2344,0.0385,0.0621,45,0.18094511721638867
librarian,-0.4021,0.0723,0.0308,93,1.4564183910214221
housekeeper,-0.5746,0.0864,0.0233,98,1.5892801903761131
pilot,0.6157,0.0201,0.0844,26,-0.323929720331437
roofer,0.4547,0.0268,0.0715,0,-1.01481107697583
police officer,0.5406,0.0223,0.0747,28,-0.2707850005895606
PR person,0.0109,0.0591,0.0604,90,1.3767013114086075
software developer,0.5182,0.0234,0.0738,0,-1.01481107697583
special ed teacher,-0.1373,0.0537,0.0408,84,1.2172671521829783
receptionist,-0.4526,0.0709,0.0267,100,1.6424249101179895
plumber,0.7293,0.0142,0.091,0,-1.01481107697583
security guard,0.7267,0.015,0.0947,4,-0.9085216374920774
PST,0.2155,0.0419,0.065,83,1.1906947923120401
technical writer,0.2588,0.0329,0.0559,12,-0.6959427585245718
telemarketer,0.1729,0.0458,0.065,24,-0.3770744400733134
veterinarian,0.191,0.042,0.0618,58,0.5263857955385852
