occupation,BLS_2022,SD,DALL_E,GIS_2020
admin asst,93,98,99,81
electrician,0,0,0,6
author,57,70,2,56
optician,75,36,14,59
announcer,31,0,2,7
chemist,47,55,19,55
butcher,25,2,0,10
building inspector,12,0,0,9
bartender,59,16,0,28
childcare worker,95,99,98,92
chef,27,2,0,19
CEO,29,10,0,11
biologist,58,50,14,60
bus driver,46,35,0,33
crane operator,0,0,0,5
CSR,65,71,98,73
drafter,15,0,0,37
construction worker,5,0,0,0
doctor,41,5,10,36
CP,22,2,0,16
custodian,40,0,0,18
cook,39,24,2,55
nurse practitioner,88,100,100,87
mail carrier,42,20,2,32
lab tech,76,64,76,56
pharmacist,60,45,45,68
librarian,88,93,90,83
nurse,88,100,100,96
housekeeper,9,98,0,97
pilot,4,26,0,4
roofer,67,0,0,11
police officer,21,28,56,20
PR person,82,90,90,47
software developer,0,0,0,0
special ed teacher,90,84,81,98
receptionist,98,100,100,5
plumber,0,0,0,2
security guard,21,4,0,19
PST,81,83,82,76
technical writer,66,12,96,54
telemarketer,62,24,79,61
veterinarian,70,58,60,71
